mu_chain_1,tau_chain_1,phi_chain_1,mu_chain_2,tau_chain_2,phi_chain_2,mu_chain_3,tau_chain_3,phi_chain_3,mu_chain_4,tau_chain_4,phi_chain_4
0.43455103789245036,0.2365780913700561,0.6316026907191126,0.41492585779604235,0.12462486732356039,0.5194338959285183,0.42633096613095356,0.2384376302830446,0.35626673250632723,0.4536337830390588,0.1574679706828065,0.4080778750933747
0.43907851893658684,0.2365780913700561,0.6395853611344099,0.41466341083957603,0.12462486732356039,0.5194338959285183,0.4229274431213384,0.2384376302830446,0.3734919242428228,0.4501813015985221,0.1574679706828065,0.3618866677611087
0.4284171712161127,0.23082703382207168,0.6395853611344099,0.42060839763612473,0.12462486732356039,0.5194338959285183,0.43076639498211844,0.2384376302830446,0.37349192424282274,0.45118448790954735,0.1574679706828065,0.3618866677611087
0.43626546197112287,0.23082703382207168,0.6746824466702088,0.4181197121072128,0.12462486732356039,0.509889431456606,0.41969422598800404,0.24670304611908428,0.37349192424282274,0.4496703560452092,0.15486344719370304,0.3342187291916564
0.4240086953360734,0.23082703382207168,0.6746824466702088,0.4201126089408942,0.12462486732356039,0.46377398534751835,0.4129952281685763,0.24670304611908428,0.35885373488758066,0.4547852197963284,0.15486344719370304,0.3342187291916564
0.4303548044552775,0.23913558931049947,0.6746824466702088,0.4151482369333877,0.12462486732356039,0.4544765734038643,0.4235363654057063,0.24670304611908428,0.35885373488758066,0.4575460766486308,0.15486344719370304,0.3342187291916564
0.4319640658763772,0.23913558931049947,0.6576960979529778,0.41532133129525733,0.12080676118895012,0.45750543614052575,0.4227005160602687,0.24670304611908428,0.35885373488758066,0.45496914656601223,0.15486344719370304,0.3342187291916564
0.4230717307739155,0.23913558931049947,0.7034123094711655,0.417806682787774,0.12080676118895012,0.45750543614052575,0.4206294498276388,0.24670304611908428,0.35885373488758066,0.45523976417699946,0.15486344719370304,0.3434965826008156
0.4363761642735258,0.23913558931049947,0.7034123094711655,0.4130475620889882,0.12080676118895012,0.4062220861344089,0.4235771027882182,0.24670304611908428,0.3495895467304893,0.46636776927024726,0.15798572385020004,0.34349658260081556
0.4301273350456866,0.23053253313276403,0.7034123094711655,0.41049586211996497,0.12080676118895012,0.40622208613440886,0.417171210800981,0.24670304611908428,0.34958954673048925,0.459100576262191,0.15827901364136246,0.3397558216001715
