Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p36,0.7,5.0,2.5,2.0370767292768135,1.3580511528512091,0.4207903577106316,0.028117877251741714,0.3649418285009095,0.4746266691993088,0.20844048299828116,0.040665571640595706,0.12316211454969177,0.2885553240231343,0.1974636329984745,0.12029057904904572,0.013533816364307637,0.4354629250760731,1.0784208585863801,1.0109451443137334,1.4054931124137087,0.21050000000000002,0.2945,1.7785347857621232,0.19176410264392604,1.770078992518365,0.9676025917926566
AR1_FixedZ0p7_muSD10_HC2p5_sigY2p04_sigC1p36,0.7,10.0,2.5,2.0370767292768135,1.3580511528512091,0.42080471659684676,0.028118205264529714,0.36495489313279533,0.4746417607026986,0.20844048299828116,0.040665571640595706,0.12316211454969177,0.2885553240231343,0.1974636329984745,0.12029057904904572,0.013533816364307637,0.4354629250760731,1.0784248265473684,1.0109451443137334,1.4054931124137087,0.21050000000000002,0.2945,1.778536312768865,0.19177830532738524,1.770078988085297,0.9676025917926566
AR1_FixedZ0p5_muSD5_HC1p0_sigY1p36_sigC1p02,0.5,5.0,1.0,1.3580511528512091,1.0185383646384067,0.45018274422015303,0.026233814802304013,0.39794642984347695,0.5026198137304488,0.42368610828164605,0.01949584755327691,0.38643743837358907,0.459020034701877,0.9717953675181891,0.019472995658536885,0.9149076387736914,0.99,1.0131108236385753,1.008911123811296,1.0004196596188732,0.1895,0.8705,1.7792776352175925,0.1760580796968395,1.7724609466487018,0.8920086393088553
AR1_FixedZ0p5_muSD10_HC1p0_sigY1p36_sigC1p02,0.5,10.0,1.0,1.3580511528512091,1.0185383646384067,0.45019161146090475,0.026234096308016642,0.3979544397408139,0.5026294878021923,0.42368610828164605,0.01949584755327691,0.38643743837358907,0.459020034701877,0.9717953675181891,0.019472995658536885,0.9149076387736914,0.99,1.013110863280532,1.008911123811296,1.0004196596188732,0.1895,0.8705,1.7792781262805977,0.17606445537519538,1.7724608059906248,0.8920086393088553
AR1_FixedZ0p9_muSD5_HC1p0_sigY2p04_sigC1p19,0.9,5.0,1.0,2.0370767292768135,1.1882947587448078,0.3955696411381299,0.030889226651364527,0.34362714662569077,0.45257393983962263,0.26451347219130344,0.08940837108310791,0.16049455972559876,0.4596017179821599,0.36079399694373115,0.2711231529495716,-0.01774043301052514,0.829366522010993,1.004505880611678,3.2961490433777363,2.89728750731296,0.1915,0.351,1.7793579842688068,0.165412439882738,1.77356911333887,0.9697624190064795
AR1_FixedZ0p9_muSD10_HC1p0_sigY2p04_sigC1p19,0.9,10.0,1.0,2.0370767292768135,1.1882947587448078,0.3955880142212795,0.03088975151049936,0.34364480725304153,0.452592878853567,0.26451347219130344,0.08940837108310791,0.16049455972559876,0.4596017179821599,0.36079399694373115,0.2711231529495716,-0.01774043301052514,0.829366522010993,1.0045083386826172,3.2961490433777363,2.89728750731296,0.1915,0.351,1.7793596535454186,0.16543058488836201,1.7735690956344399,0.9697624190064795
AR1_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p36,0.7,5.0,1.0,2.0370767292768135,1.3580511528512091,0.41809798465490416,0.03680185828205121,0.3419053050621703,0.48434262303546793,0.22069252915536505,0.03602906003951046,0.16582358101225678,0.29184343584927974,0.20693651390394488,0.1114478963306909,0.02488264826162714,0.4486848340056719,1.667236303840846,1.0483024936893746,1.093627204510962,0.181,0.2895,1.779566971222175,0.18534816301539186,1.771802747671482,0.9654427645788337
AR1_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p36,0.7,10.0,1.0,2.0370767292768135,1.3580511528512091,0.4181122434112886,0.036802597582366245,0.34191773497867584,0.4843576060716786,0.22069252915536505,0.03602906003951046,0.16582358101225678,0.29184343584927974,0.20693651390394488,0.1114478963306909,0.02488264826162714,0.4486848340056719,1.667251024974956,1.0483024936893746,1.093627204510962,0.181,0.2895,1.7795684332825954,0.1853622465270031,1.77180274279773,0.9654427645788337
AR1_FixedZ0p5_muSD5_HC2p5_sigY2p04_sigC1p19,0.5,5.0,2.5,2.0370767292768135,1.1882947587448078,0.44924573969258047,0.02655878307461452,0.39493216750046267,0.49601399981659117,0.30961869433215083,0.03256332815442713,0.2641688435646102,0.37351428333987285,0.9166501924960555,0.05742224130265597,0.802899035134685,0.9893215533663473,1.0378435639020056,1.498138043879053,1.2252443130031438,0.213,0.7185,1.7796456104641694,0.20891064533626674,1.7692528514754369,0.9676025917926566
AR1_FixedZ0p5_muSD10_HC2p5_sigY2p04_sigC1p19,0.5,10.0,2.5,2.0370767292768135,1.1882947587448078,0.44925618493697284,0.02655898238694119,0.39494196860977077,0.49602447782819864,0.30961869433215083,0.03256332815442713,0.2641688435646102,0.37351428333987285,0.9166501924960555,0.05742224130265597,0.802899035134685,0.9893215533663473,1.0378412440616909,1.498138043879053,1.2252443130031438,0.213,0.7185,1.7796466152749393,0.2089198016827925,1.76925278084534,0.9676025917926566
AR1_FixedZ0p9_muSD5_HC1p0_sigY2p04_sigC1p02,0.9,5.0,1.0,2.0370767292768135,1.0185383646384067,0.3850421336994536,0.036676127596237014,0.31325598143193667,0.453222665319097,0.19619106171302098,0.052455593399950824,0.1313628920731865,0.3048874936612017,0.06622226990029585,0.23714008843076614,-0.3292310599065775,0.4645468109060251,1.3202304540007035,2.4058748767821787,2.7302631345030255,0.20450000000000002,0.32599999999999996,1.7797575372098449,0.1579188234348887,1.7746550926291347,0.9676025917926566
AR1_FixedZ0p9_muSD10_HC1p0_sigY2p04_sigC1p02,0.9,10.0,1.0,2.0370767292768135,1.0185383646384067,0.3850572250106267,0.03667731184058519,0.31326767882884266,0.4532401972706458,0.19619106171302098,0.052455593399950824,0.1313628920731865,0.3048874936612017,0.06622226990029585,0.23714008843076614,-0.3292310599065775,0.4645468109060251,1.3202546361244465,2.4058748767821787,2.7302631345030255,0.20450000000000002,0.32599999999999996,1.7797588706696421,0.15793385075515928,1.7746550926440245,0.9676025917926566
AR1_FixedZ0p5_muSD5_HC1p0_sigY2p04_sigC1p36,0.5,5.0,1.0,2.0370767292768135,1.3580511528512091,0.43403098541726665,0.030100412409056122,0.37780484638611805,0.4948229374761175,0.1929867486063812,0.0466459288338517,0.12052170047305569,0.2953061185167966,0.6929908908034037,0.17873739962238056,0.3565029097075688,0.952637573131094,1.0000646032422544,1.1209831998138318,1.129386693830822,0.196,0.492,1.7800034971112384,0.19702522693887298,1.7709792549896326,0.9676025917926566
AR1_FixedZ0p5_muSD10_HC1p0_sigY2p04_sigC1p36,0.5,10.0,1.0,2.0370767292768135,1.3580511528512091,0.4340424381917208,0.030100943615864156,0.3778152961878194,0.49483562524310504,0.1929867486063812,0.0466459288338517,0.12052170047305569,0.2953061185167966,0.6929908908034037,0.17873739962238056,0.3565029097075688,0.952637573131094,1.000064892638535,1.1209831998138318,1.129386693830822,0.196,0.492,1.7800047003788797,0.1970362841034226,1.7709792341764228,0.9676025917926566
