Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Rhat_mu,Rhat_tau,tau_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p19,0.7,5.0,1.0,1.3580511528512091,1.1882947587448078,0.3994345536922905,0.02667415559391754,0.35111206797256883,0.4477196725281846,0.23733905716007053,0.0405962572337089,0.16477443491252064,0.3078685096429217,1.0295252289064427,1.1166594904553857,0.205,1.7808789843018744,0.17079657367831405,1.7745873122771099,0.8790496760259179
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p19,0.7,10.0,1.0,1.3580511528512091,1.1882947587448078,0.39944300184047066,0.02667440707277941,0.35112007964675274,0.4477283303051558,0.23733905716007053,0.0405962572337089,0.16477443491252064,0.3078685096429217,1.0295263074934085,1.1166594904553857,0.205,1.7808797848038176,0.17080492023085356,1.7745873122771099,0.8790496760259179
Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC0p849,0.7,5.0,1.0,2.0370767292768135,0.8487819705320057,0.43948251787655684,0.027105050117767038,0.39261160496140507,0.49252323666884124,0.21876589927410492,0.036995172964535306,0.16529932000362121,0.2860529121805095,1.1253179040475725,2.3996995106119132,0.198,1.7810726364125202,0.20846229974019342,1.7707443125690303,0.9654427645788337
Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC0p849,0.7,10.0,1.0,2.0370767292768135,0.8487819705320057,0.4394899619966075,0.027105286527413338,0.39261882744663545,0.4925310439875194,0.21876589927410492,0.036995172964535306,0.16529932000362121,0.2860529121805095,1.1253172980895552,2.3996995106119132,0.198,1.7810734902311611,0.20846959452096223,1.7707443125690303,0.9654427645788337
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC0p849,0.7,5.0,1.0,1.3580511528512091,0.8487819705320057,0.4184704561066372,0.01880007237565228,0.38543166254360156,0.45726492717304273,0.2593835056270938,0.02870184072466894,0.21050413599636014,0.32140984699824304,1.1880438893049479,1.0743309184490215,0.1995,1.7812553022227202,0.1890279163398832,1.7731128679463672,0.8855291576673866
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC0p849,0.7,10.0,1.0,1.3580511528512091,0.8487819705320057,0.41847641984426404,0.018800205291940913,0.38543745458125994,0.4572712074218269,0.2593835056270938,0.02870184072466894,0.21050413599636014,0.32140984699824304,1.1880469841274155,1.0743309184490215,0.1995,1.7812559176454414,0.1890337155275397,1.7731128679463672,0.8855291576673866
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC1p02,0.7,5.0,1.0,1.6975639410640113,1.0185383646384067,0.4103300425234967,0.024989493998001617,0.3484056661427862,0.4490051736315004,0.18009608667141175,0.026958134457954405,0.1460439901412009,0.2274581447671062,1.0046865976003077,1.1116084627695917,0.193,1.781395145936195,0.17854487869042224,1.7743421752898356,0.9352051835853131
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC1p02,0.7,10.0,1.0,1.6975639410640113,1.0185383646384067,0.41033847265281365,0.024989679872079118,0.34841371867892146,0.4490138488171943,0.18009608667141175,0.026958134457954405,0.1460439901412009,0.2274581447671062,1.0046868065777348,1.1116084627695917,0.193,1.7813959829114743,0.17855322924740644,1.7743421752898356,0.9352051835853131
Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC0p849,0.7,5.0,1.0,1.6975639410640113,0.8487819705320057,0.43608846191502065,0.028755537636497346,0.3768038940757923,0.48453415306788855,0.2070530963280087,0.030558405336201216,0.147163920904861,0.2698843813611951,1.0760278078441152,1.068607728295773,0.187,1.7814194965064587,0.20559377538689355,1.7714299540982106,0.9330453563714903
Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC0p849,0.7,10.0,1.0,1.6975639410640113,0.8487819705320057,0.436095327600532,0.02875573564445749,0.3768104512778578,0.48454116202417674,0.2070530963280087,0.030558405336201216,0.147163920904861,0.2698843813611951,1.0760286659299032,1.068607728295773,0.187,1.7814202747161523,0.2056005182733791,1.7714299540982106,0.9330453563714903
Ind_FixedZ0p7_muSD5_HC5p0_sigY2p04_sigC1p36,0.7,5.0,5.0,2.0370767292768135,1.3580511528512091,0.4183775808302156,0.02503787196423759,0.36390343462345537,0.46303743562406363,0.1997479234810462,0.03424352013262407,0.16699533165035524,0.2909249759264923,1.2494810443489845,1.0373149484874493,0.216,1.781618790196006,0.19110721380608978,1.7732554758574401,0.9676025917926566
Ind_FixedZ0p7_muSD10_HC5p0_sigY2p04_sigC1p36,0.7,10.0,5.0,2.0370767292768135,1.3580511528512091,0.4183916200674038,0.025038191369263732,0.3639167581301303,0.4630522006685886,0.1997479234810462,0.03424352013262407,0.16699533165035524,0.2909249759264923,1.2494934370838826,1.0373149484874493,0.216,1.7816202860416523,0.19112115849477515,1.7732554758574401,0.9676025917926566
Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p02,0.7,5.0,1.0,2.0370767292768135,1.0185383646384067,0.4349970972168547,0.023798225621609544,0.3935800089642882,0.4816758580809321,0.2198983314529535,0.03180458462606869,0.1726446175420153,0.2738211773736098,1.0704288909474,1.0045794441033484,0.199,1.7816527652330225,0.20393534496370003,1.7718571274987283,0.9676025917926566
Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p02,0.7,10.0,1.0,2.0370767292768135,1.0185383646384067,0.4350069485684342,0.0237984657868151,0.39358958980629233,0.48168631310977245,0.2198983314529535,0.03180458462606869,0.1726446175420153,0.2738211773736098,1.0704308048603943,1.0045794441033484,0.199,1.7816538770475594,0.20394505794842716,1.7718571274987283,0.9676025917926566
Ind_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p19,0.7,5.0,2.5,2.0370767292768135,1.1882947587448078,0.4361272313111013,0.028121655490974583,0.3850514220533838,0.4839058601268862,0.2086049193172851,0.046344726069069364,0.1434049129382267,0.29520395082895595,1.0976759342602125,1.137235959763017,0.2145,1.781812279379308,0.20703744487530193,1.7716573301778233,0.9676025917926566
