Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
28,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC0p849,0.7,5.0,2.5,1.3580511528512091,0.8487819705320057,1.7794813226286286,0.1848403765993263,1.771769700882013,0.8898488120950324,1.018488712323901,1.1956279110668329,0.1975,Bayesian independent fixed Z
29,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC0p849,0.7,10.0,2.5,1.3580511528512091,0.8487819705320057,1.7794819210863282,0.1848461379373039,1.771769700882013,0.8898488120950324,1.018489466128834,1.1956279110668329,0.1975,Bayesian independent fixed Z
30,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC1p36,0.7,5.0,2.5,1.3580511528512091,1.3580511528512091,1.779838257648716,0.16471638629624408,1.7741168991076932,0.8812095032397408,0.9999125350659048,1.0366542725794625,0.20850000000000002,Bayesian independent fixed Z
31,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC1p36,0.7,10.0,2.5,1.3580511528512091,1.3580511528512091,1.779839118843955,0.16472569165647202,1.7741168991076932,0.8812095032397408,0.9999126613857858,1.0366542725794625,0.20850000000000002,Bayesian independent fixed Z
32,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p7_sigC1p36,0.7,5.0,5.0,1.6975639410640113,1.3580511528512091,1.7799843784445275,0.17548176708888386,1.773229193266997,0.9352051835853131,1.0263730413674303,1.0000422869103205,0.23,Bayesian independent fixed Z
33,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p7_sigC1p36,0.7,10.0,5.0,1.6975639410640113,1.3580511528512091,1.7799855380276117,0.17549352883093114,1.773229193266997,0.9352051835853131,1.026373777544812,1.0000422869103205,0.23,Bayesian independent fixed Z
34,Ind_FixedZ0p7_muSD5_HC2p5_sigY1p36_sigC1p19,0.7,5.0,2.5,1.3580511528512091,1.1882947587448078,1.7799929994063157,0.16543524330926287,1.7742054483771885,0.8790496760259179,1.0494271043753909,1.0446010112787927,0.215,Bayesian independent fixed Z
35,Ind_FixedZ0p7_muSD10_HC2p5_sigY1p36_sigC1p19,0.7,10.0,2.5,1.3580511528512091,1.1882947587448078,1.7799937591837294,0.16544341789967507,1.7742054483771885,0.8790496760259179,1.0494288799301905,1.0446010112787927,0.215,Bayesian independent fixed Z
36,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p36,0.7,5.0,5.0,1.3580511528512091,1.3580511528512091,1.7800285879591151,0.16254813430889256,1.774508640914818,0.8876889848812095,1.2826537532049969,1.111543868991926,0.2235,Bayesian independent fixed Z
37,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p36,0.7,10.0,5.0,1.3580511528512091,1.3580511528512091,1.7800294448538456,0.1625575177045687,1.774508640914818,0.8876889848812095,1.2826594890369514,1.111543868991926,0.2235,Bayesian independent fixed Z
38,Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p19,0.7,5.0,1.0,2.0370767292768135,1.1882947587448078,1.7801213561963136,0.17532652445215832,1.773382378661949,0.9654427645788337,1.035542207797757,1.1266952695057484,0.20550000000000002,Bayesian independent fixed Z
39,Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p19,0.7,10.0,1.0,2.0370767292768135,1.1882947587448078,1.7801224891053966,0.17533802670574203,1.773382378661949,0.9654427645788337,1.0355447913737783,1.1266952695057484,0.20550000000000002,Bayesian independent fixed Z
40,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC0p849,0.7,5.0,5.0,1.3580511528512091,0.8487819705320057,1.780139951204399,0.1940406023624288,1.7714468889343316,0.8790496760259179,0.9998345219333705,1.0033840708811406,0.20900000000000002,Bayesian independent fixed Z
41,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC0p849,0.7,10.0,5.0,1.3580511528512091,0.8487819705320057,1.7801405891606017,0.1940464549231144,1.7714468889343316,0.8790496760259179,0.999834540557844,1.0033840708811406,0.20900000000000002,Bayesian independent fixed Z
