mu_chain_1,tau_chain_1,Z_mean_chain_1,mu_chain_2,tau_chain_2,Z_mean_chain_2
0.27926491889770205,0.3442218387459639,0.9076093875509036,0.3271145631125119,0.27376027374442774,0.9243809537130465
0.28240787331968303,0.3337918859242926,0.9076093875509036,0.32762629324379033,0.27347818027523896,0.9243809537130465
0.28762524309226706,0.3337918859242926,0.9076093875509036,0.31464546484635325,0.27347818027523896,0.9243809537130465
0.28734799410825196,0.3337918859242926,0.9076093875509036,0.3128909153280332,0.27347818027523896,0.9243809537130465
0.28546646436313977,0.33511998105623747,0.9076093875509036,0.31802764124788546,0.27347818027523896,0.9243809537130465
0.28958626323390435,0.34365347425651155,0.9076093875509036,0.3210965533958694,0.27347818027523896,0.9243809537130465
0.2880891728878052,0.34365347425651155,0.9076093875509036,0.316285621601071,0.27347818027523896,0.9243809537130465
0.28543132954733336,0.34365347425651155,0.9076093875509036,0.3175776553931659,0.27347818027523896,0.9243809537130465
0.2783062929378037,0.34365347425651155,0.9076093875509036,0.31897172974328514,0.27347818027523896,0.9243809537130465
0.2717424570969611,0.33908352801179303,0.9076093875509036,0.3262091723391577,0.27347818027523896,0.9243809537130465
0.28505182718851413,0.33209142316167556,0.9045851288612171,0.329139400969107,0.2681811343849421,0.9243809537130465
0.29003026333649823,0.33209142316167556,0.9045851288612171,0.3380327943961799,0.2654657382452676,0.9243809537130465
0.291729390619147,0.33209142316167556,0.9045851288612171,0.3322034416657333,0.2642153000967659,0.9243809537130465
0.28110308660538835,0.33209142316167556,0.9045851288612171,0.3194083771632224,0.2694557651383049,0.9243809537130465
0.2790075264154408,0.33209142316167556,0.9141092102170489,0.3287175015686311,0.2694557651383049,0.9243809537130465
0.28001111375819115,0.33209142316167556,0.9141092102170489,0.3237829520646365,0.2694557651383049,0.9243809537130465
0.28665656580855353,0.32342361801678116,0.9141092102170489,0.3395068216961603,0.2694557651383049,0.9243809537130465
0.27456522243980874,0.32342361801678116,0.9141092102170489,0.34800325317361336,0.2694557651383049,0.9243809537130465
