Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_Z_mean,tau_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_SampledZ_Beta2_2_muSD5_HC1p0_sigY2p04_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,1.0,2.0370767292768135,1.1882947587448078,0.3579926929691355,0.03509241588746926,0.2999587313204504,0.4220678856127436,0.34365198457694407,0.03341376619803418,0.2997523943063864,0.4037839273219419,0.9815849371737428,0.004940138543118997,0.9710485723794046,0.9900673557179583,1.0232663949833685,1.0343071451730108,1.017035069229985,0.191,0.006,1.7768985960532402,0.13112784234829525,1.7739704121755346,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD5_HC1p0_sigY2p04_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,1.0,2.0370767292768135,1.3580511528512091,0.3480252213970315,0.042833470376173466,0.2717817940895049,0.42560074901386674,0.31206473509857363,0.050727952082918915,0.22810553015500906,0.4234786020340963,0.9796937762349077,0.006948223779254211,0.9650878061392508,0.994645208600328,1.012908175000489,1.767427835393543,0.9998150807328887,0.1925,0.006666666666666666,1.7721995778085031,0.11945938058945574,1.7700813384029868,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p36_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,2.5,1.3580511528512091,0.8487819705320057,0.33758583728922426,0.030471700267573093,0.2781982962541561,0.3994370137056667,0.6329563279475005,0.13591919622408236,0.37538796731301505,0.8232624791292213,0.9764982647674422,0.006763923521741017,0.9599561099068178,0.9818042729036529,1.0073932348932175,1.4332375031129865,1.57004461780865,0.186,0.0055,1.7752901569670039,0.1086281889906658,1.7738802893796861,0.9114470842332614
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p36_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,2.5,1.3580511528512091,1.0185383646384067,0.3891207453071116,0.0635481434905263,0.2752213858614765,0.49527558051043946,0.8172615801666361,0.041743527299986746,0.7343302934508352,0.9005384272111436,0.8182941465857008,0.16202942988331248,0.6526541349764358,0.9836389487492125,2.5999289713328406,1.4166557296484334,62.90584535401094,0.193,0.006833333333333334,1.7798412340098724,0.16921536397647136,1.7736955167642725,0.9114470842332614
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p36_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,2.5,1.3580511528512091,1.1882947587448078,0.42894315846094244,0.029285607919943214,0.36844217743217206,0.48589609857915556,0.7142737613716539,0.0359793169712143,0.6505536983035332,0.7785236164062046,0.6592158974052079,0.0070997345124774085,0.651269849672461,0.6671190767763081,1.0000289622798506,1.0488470677323785,10.534180534881651,0.188,0.005333333333333334,1.792121075617246,0.20875690259127777,1.7818462067906184,0.9049676025917927
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p36_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,2.5,1.3580511528512091,1.3580511528512091,0.40224570266449927,0.03154379734667086,0.3410653691791921,0.4620804359405852,0.47149336292256855,0.09264612085398329,0.3707625582305181,0.6903237234185323,0.65676881267605,0.007022997047672175,0.6449470595301424,0.6637736014226561,0.9999771520919094,2.248357499256844,1.9827256233047963,0.1975,0.0085,1.7820470552423793,0.1771897867985862,1.7751341698414755,0.8941684665226782
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p7_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,2.5,1.6975639410640113,0.8487819705320057,0.34602657933388953,0.03483275169840997,0.2728852095860763,0.411016265418681,0.3567143457346707,0.031916234508925494,0.31459942802324997,0.4393973558565175,0.9789484172350666,0.004550778040047303,0.9728608144010004,0.9872802122699156,1.1567372729603742,1.1263963363256055,1.2068190858376786,0.216,0.007833333333333335,1.776693774947259,0.11607074477365159,1.7748159754874988,0.937365010799136
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p7_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,2.5,1.6975639410640113,1.0185383646384067,0.34505073810146947,0.03775807567226563,0.26792576996596873,0.4168483279596733,0.36293094906788254,0.06332089970064343,0.2864090312819719,0.5007916252257044,0.9821454665010971,0.005610772173407195,0.9685069696856802,0.9907383044406632,1.010067150918448,2.123447765918216,1.0880433319940253,0.1945,0.006833333333333334,1.7786680778641186,0.11183541157185233,1.7770688364156904,0.937365010799136
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p7_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,2.5,1.6975639410640113,1.1882947587448078,0.3323818483970222,0.0476595725833198,0.232513849765763,0.4226652681448797,0.410845784423801,0.04544866021213659,0.3286167330260995,0.49447259785614434,0.9789510842393074,0.005791696655264266,0.9659082877553682,0.9884406133131792,1.0088945125664683,1.1339134432993911,1.0415027531007892,0.202,0.004833333333333334,1.7715710355216865,0.10340166978004241,1.770463808698733,0.9308855291576674
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY1p7_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,2.5,1.6975639410640113,1.3580511528512091,0.32598874708471925,0.037594591275073704,0.2440987561851744,0.39089967395398795,0.431252306571801,0.07492310018564112,0.3407478661632522,0.6006698920763037,0.9775422371965832,0.00510710777396059,0.9679333201188373,0.9865255121959219,1.0201929423425224,1.1359014098523827,1.7259777619425616,0.21050000000000002,0.007666666666666667,1.7728195620071083,0.09613094552251586,1.772126075852113,0.937365010799136
