Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p7_sigC1p19,"Beta(2,3)",2.0,3.0,5.0,5.0,1.6975639410640113,1.1882947587448078,0.364864280330209,0.03619531457112316,0.2971997183200886,0.4480502026678041,0.3600929100638415,0.043398531459314285,0.27713886538338744,0.4344768216601977,0.6835557008350255,0.2528032368758156,0.17013949553511556,0.9844457269752473,0.9302109347442528,0.013819452905691261,0.9113750135016142,0.9450594141377563,1.067807181459903,1.2080835689766856,1.2171718209611826,2.0914506056936926,0.20900000000000002,0.519,0.0075,1.7522936707327783,0.11256515808280158,1.7505658922225436,0.937365010799136
AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p7_sigC1p19,"Beta(2,3)",2.0,3.0,10.0,5.0,1.6975639410640113,1.1882947587448078,0.36487975503982784,0.036195771815194205,0.29721297496415666,0.4480659954669966,0.3600929100638415,0.043398531459314285,0.27713886538338744,0.4344768216601977,0.6835557008350255,0.2528032368758156,0.17013949553511556,0.9844457269752473,0.9302109347442528,0.013819452905691261,0.9113750135016142,0.9450594141377563,1.0678002546346663,1.2080835689766856,1.2171718209611826,2.0914506056936926,0.20900000000000002,0.519,0.0075,1.7522944986542988,0.11257990654323748,1.7505657722824441,0.937365010799136
AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p7_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,5.0,1.6975639410640113,1.3580511528512091,0.3630768612366762,0.036472846444676105,0.2964917413231375,0.43559216741270534,0.36865876973218453,0.042494029159763434,0.27551155165901375,0.43243047300411275,0.7689867997497472,0.16835986126237842,0.41492240736638997,0.967450635937084,0.9291848214651952,0.008171301305360817,0.9043816426144698,0.944171062489756,0.999839099006053,1.5708038196318983,1.2076817936284931,1.6328265991924338,0.20700000000000002,0.546,0.005666666666666667,1.7525435427586866,0.11222364867096406,1.7508385228314471,0.937365010799136
AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p7_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,5.0,1.6975639410640113,1.3580511528512091,0.3630931981914999,0.03647345080021997,0.29650737871154137,0.4356105663743898,0.36865876973218453,0.042494029159763434,0.27551155165901375,0.43243047300411275,0.7689867997497472,0.16835986126237842,0.41492240736638997,0.967450635937084,0.9291848214651952,0.008171301305360817,0.9043816426144698,0.944171062489756,0.9998382712122544,1.5708038196318983,1.2076817936284931,1.6328265991924338,0.20700000000000002,0.546,0.005666666666666667,1.7525443740754094,0.11223911632138972,1.750838363113303,0.937365010799136
AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p02,"Beta(2,3)",2.0,3.0,5.0,2.5,1.3580511528512091,1.0185383646384067,0.4887022577824529,0.030958037093174923,0.42803482705444507,0.5508338382729898,0.6241344983606506,0.03815469256558878,0.5441131838612953,0.6964734112730879,0.7938556553486242,0.08145308614541276,0.6072718039490719,0.9503211771102571,0.6342405744136628,0.0067969954845830405,0.6159140655691934,0.6419539670807418,1.0123711499617631,1.6744590779895783,1.0256536111288719,1.257905212805275,0.181,0.503,0.007833333333333333,1.7543281977929186,0.2119399518053879,1.7433626340840354,0.9071274298056156
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p02,"Beta(2,3)",2.0,3.0,10.0,2.5,1.3580511528512091,1.0185383646384067,0.48871564280525054,0.03095860875608927,0.4280466150574393,0.5508486311096665,0.6241344983606506,0.03815469256558878,0.5441131838612953,0.6964734112730879,0.7938556553486242,0.08145308614541276,0.6072718039490719,0.9503211771102571,0.6342405744136628,0.0067969954845830405,0.6159140655691934,0.6419539670807418,1.012373865842277,1.6744590779895783,1.0256536111288719,1.257905212805275,0.181,0.503,0.007833333333333333,1.7543291069265057,0.2119489904407816,1.7433624496909463,0.9071274298056156
AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC1p19,"Beta(2,3)",2.0,3.0,5.0,1.0,1.6975639410640113,1.1882947587448078,0.3651373290645234,0.04808127362494264,0.27283951491508185,0.45985815250120765,0.31536518491577803,0.04952451226170524,0.22856484688569273,0.4274269734811051,0.7466480163807347,0.14283055415910542,0.5312093345498397,0.955573403325532,0.9282838718584527,0.01074190468114255,0.908462899069694,0.9492990206764015,0.9992855804603065,1.0078135778573636,1.9752109806183904,1.6024184736421432,0.21,0.5,0.006,1.7544758087815864,0.11755152725705297,1.7524268404267493,0.937365010799136
AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p7_sigC1p19,"Beta(2,3)",2.0,3.0,10.0,1.0,1.6975639410640113,1.1882947587448078,0.36515248069307016,0.04808246023322782,0.2728529296483555,0.4598747479531251,0.31536518491577803,0.04952451226170524,0.22856484688569273,0.4274269734811051,0.7466480163807347,0.14283055415910542,0.5312093345498397,0.955573403325532,0.9282838718584527,0.01074190468114255,0.908462899069694,0.9492990206764015,0.999285578155026,1.0078135778573636,1.9752109806183904,1.6024184736421432,0.21,0.5,0.006,1.7544766772167157,0.11756605280684103,1.7524267352266738,0.937365010799136
AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,1.0,1.6975639410640113,1.3580511528512091,0.2743885333679055,0.09460779136713005,0.10119518004328774,0.40668996674896846,0.2104006286851021,0.12835021283230322,0.05539593571329389,0.3684070415144055,0.8186553798713434,0.11271762697316841,0.5410408390423826,0.9752247987041547,0.930351993294318,0.007695628110662259,0.917758893566757,0.9409167902510208,1.9697719473021207,9.037791034940165,1.000556534070589,2.1962340079744274,0.1885,0.567,0.006500000000000001,1.7580357550935657,0.032126064136541385,1.7596434874209448,0.9416846652267818
AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p7_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,1.0,1.6975639410640113,1.3580511528512091,0.27439769566750694,0.0946136211913326,0.10119578840768322,0.40670506181890104,0.2104006286851021,0.12835021283230322,0.05539593571329389,0.3684070415144055,0.8186553798713434,0.11271762697316841,0.5410408390423826,0.9752247987041547,0.930351993294318,0.007695628110662259,0.917758893566757,0.9409167902510208,1.9698576631783957,9.037791034940165,1.000556534070589,2.1962340079744274,0.1885,0.567,0.006500000000000001,1.758035842467663,0.03213481550487057,1.7596434147615283,0.9416846652267818
