AR(1) structure scenario with sampled Z prior = Beta(2,3)
Best model for this Z prior: AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_2_3

Bayesian AR(1) sampled-Z results for Beta_2_3
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
  AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p36_sigC1p02 Beta(2,3)  2.0  3.0          5.0                   2.5      1.358051      1.018538 0.488702 0.030958 0.428035  0.550834  0.624134 0.038155  0.544113   0.696473  0.793856 0.081453  0.607272   0.950321 0.634241 0.006797 0.615914 0.641954 1.012371  1.674459  1.025654     1.257905           0.1810           0.5030       0.007833         1.754328         0.211940       1.743363             0.907127
 AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p02 Beta(2,3)  2.0  3.0         10.0                   2.5      1.358051      1.018538 0.488716 0.030959 0.428047  0.550849  0.624134 0.038155  0.544113   0.696473  0.793856 0.081453  0.607272   0.950321 0.634241 0.006797 0.615914 0.641954 1.012374  1.674459  1.025654     1.257905           0.1810           0.5030       0.007833         1.754329         0.211949       1.743362             0.907127
   AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC1p19 Beta(2,3)  2.0  3.0          5.0                   1.0      1.697564      1.188295 0.365137 0.048081 0.272840  0.459858  0.315365 0.049525  0.228565   0.427427  0.746648 0.142831  0.531209   0.955573 0.928284 0.010742 0.908463 0.949299 0.999286  1.007814  1.975211     1.602418           0.2100           0.5000       0.006000         1.754476         0.117552       1.752427             0.937365
  AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p7_sigC1p19 Beta(2,3)  2.0  3.0         10.0                   1.0      1.697564      1.188295 0.365152 0.048082 0.272853  0.459875  0.315365 0.049525  0.228565   0.427427  0.746648 0.142831  0.531209   0.955573 0.928284 0.010742 0.908463 0.949299 0.999286  1.007814  1.975211     1.602418           0.2100           0.5000       0.006000         1.754477         0.117566       1.752427             0.937365
   AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   1.0      1.697564      1.358051 0.274389 0.094608 0.101195  0.406690  0.210401 0.128350  0.055396   0.368407  0.818655 0.112718  0.541041   0.975225 0.930352 0.007696 0.917759 0.940917 1.969772  9.037791  1.000557     2.196234           0.1885           0.5670       0.006500         1.758036         0.032126       1.759643             0.941685
  AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p7_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   1.0      1.697564      1.358051 0.274398 0.094614 0.101196  0.406705  0.210401 0.128350  0.055396   0.368407  0.818655 0.112718  0.541041   0.975225 0.930352 0.007696 0.917759 0.940917 1.969858  9.037791  1.000557     2.196234           0.1885           0.5670       0.006500         1.758036         0.032135       1.759643             0.941685
   AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC1p19 Beta(2,3)  2.0  3.0          5.0                   2.5      1.697564      1.188295 0.348229 0.035392 0.286455  0.426821  0.294553 0.048105  0.248713   0.425762  0.569207 0.138177  0.251786   0.820205 0.921876 0.019652 0.899092 0.947240 1.042917  1.378890  1.002192     1.650147           0.1960           0.3885       0.008833         1.758499         0.107479       1.757110             0.935205
  AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC1p19 Beta(2,3)  2.0  3.0         10.0                   2.5      1.697564      1.188295 0.348243 0.035393 0.286469  0.426836  0.294553 0.048105  0.248713   0.425762  0.569207 0.138177  0.251786   0.820205 0.921876 0.019652 0.899092 0.947240 1.042926  1.378890  1.002192     1.650147           0.1960           0.3885       0.008833         1.758500         0.107493       1.757110             0.935205
   AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   2.5      1.697564      1.358051 0.368001 0.043723 0.283608  0.487139  0.306014 0.043508  0.254924   0.418484  0.563717 0.330814 -0.147672   0.894339 0.927718 0.022835 0.897399 0.953893 1.205401  1.062309  1.492213     2.125441           0.2030           0.4535       0.007500         1.759195         0.125650       1.756600             0.933045
  AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   2.5      1.697564      1.358051 0.368017 0.043724 0.283623  0.487157  0.306014 0.043508  0.254924   0.418484  0.563717 0.330814 -0.147672   0.894339 0.927718 0.022835 0.897399 0.953893 1.205404  1.062309  1.492213     2.125441           0.2030           0.4535       0.007500         1.759196         0.125665       1.756600             0.933045
  AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p02 Beta(2,3)  2.0  3.0          5.0                   5.0      1.358051      1.018538 0.491403 0.033575 0.426788  0.559616  0.643238 0.043646  0.576294   0.736235  0.787209 0.132076  0.592346   0.987311 0.628042 0.006838 0.620463 0.636731 1.125231  1.077405  2.551748     7.808756           0.1985           0.5835       0.006167         1.759714         0.212192       1.748764             0.913607
 AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p02 Beta(2,3)  2.0  3.0         10.0                   5.0      1.358051      1.018538 0.491416 0.033576 0.426801  0.559631  0.643238 0.043646  0.576294   0.736235  0.787209 0.132076  0.592346   0.987311 0.628042 0.006838 0.620463 0.636731 1.125242  1.077405  2.551748     7.808756           0.1985           0.5835       0.006167         1.759715         0.212201       1.748763             0.913607
   AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC1p02 Beta(2,3)  2.0  3.0          5.0                   2.5      1.697564      1.018538 0.382182 0.034824 0.319351  0.464790  0.267940 0.038619  0.231580   0.389037  0.675557 0.208940  0.340040   0.964998 0.917142 0.018859 0.886450 0.949750 1.001648  1.028474  2.410418     1.217635           0.2105           0.4815       0.008500         1.759788         0.140074       1.756102             0.935205
