Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,5.0,1.3580511528512091,1.3580511528512091,0.429435219067924,0.04062518014690814,0.35118925465986034,0.5053458785005763,0.7501566602683201,0.035248203368060754,0.6881640998476,0.8137579675851727,0.935922391762353,0.04489510950008328,0.8370746086672781,0.9889123719761018,0.9791567371579546,0.0023271618486025393,0.9695862370155179,0.9800490039541284,1.0027924486963975,1.0267015707703604,1.0497880083851858,1.0361751609607035,0.219,0.7244999999999999,0.006666666666666666,1.648541015742957,0.06335765177813615,1.6491049209358375,0.9416846652267818
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,0.8487819705320057,0.37492115022505745,0.040108269241252645,0.29411642619018236,0.4497414220549897,0.3937339290524793,0.044485678245086126,0.33026171695634277,0.4717213629825391,0.8278976022580707,0.14940879425532166,0.5446022167201553,0.9871907734294921,0.9851487558982197,0.004584059864246577,0.9782322555440566,0.988329945807341,1.20224057380906,1.3122486751912827,2.3932629731401875,1.4986996428746997,0.187,0.601,0.006,1.7419148900271815,0.11675494312964736,1.7398775646607463,0.937365010799136
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,1.0185383646384067,0.3726890935356531,0.04343962514826206,0.2889125826609592,0.4576686853765445,0.42098379931306185,0.04707547198717831,0.3011475852643687,0.4849562242479922,0.9152094105571265,0.07925617191773837,0.6684286578821745,0.9895757318466465,0.9798566333588934,0.006000142310675417,0.9693902737799087,0.9853386459333836,1.0196465338319471,1.3025872053632417,1.0033899049560153,1.6752170554532464,0.1935,0.6905,0.005666666666666667,1.725795294962025,0.10584577738782043,1.7244096116951093,0.9438444924406048
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,1.1882947587448078,0.377417435692664,0.03916624606987851,0.3053452171731405,0.4595001461056547,0.48659271015995054,0.027068429839918032,0.41887431454405755,0.5425996719301097,0.9119412156290381,0.06337748288415172,0.7557556107447146,0.9869513585718582,0.9785091225727168,0.004414940980592421,0.9726868940197129,0.9861968931813548,1.0057309093692182,1.0637220281864646,1.0023642875930137,1.0090265209566063,0.2175,0.677,0.006833333333333334,1.7224135090346038,0.09386736656312075,1.7217141425104845,0.9503239740820735
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,1.3580511528512091,0.3649234328869475,0.03912394939740143,0.2908128685856491,0.4369927987051739,0.5064738483871801,0.045866658486404845,0.43747972725505785,0.5941529681012653,0.8922948828619325,0.06158525303096285,0.756287259759688,0.9814443879224002,0.9799180432996034,0.006063303016734506,0.9707326293652149,0.9879253383455658,1.054064743370305,1.2973476987092845,1.0022026297821747,1.1587892280251888,0.2015,0.6665,0.005666666666666667,1.7146691059599484,0.08388986640325156,1.7144682067689672,0.9611231101511879
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,0.8487819705320057,0.3534102261240461,0.042249838698067234,0.2668266164509287,0.44071811591556054,0.2782261212155366,0.081339697999818,0.17587985553644553,0.42611643938923766,0.2537246842705207,0.16887017701673349,0.024011198026193906,0.6378513624561504,0.971611638661853,0.010382411623850715,0.9572843053450776,0.9817256221638794,1.0800438345990533,2.887485847286298,1.7382437189605153,1.691184201074033,0.2205,0.3345,0.0055,1.7709536555594747,0.12113215056750605,1.7687172104475168,0.9632829373650108
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,1.0185383646384067,0.3351000762035058,0.050249343923986285,0.21949026417636833,0.4242162876017807,0.33092166354919184,0.03710555844147666,0.2755506349141641,0.4035298831452784,0.2787969131922993,0.317247535243181,-0.3018506618169578,0.8835313391265244,0.9809633803495793,0.004547261187102966,0.9724290315167172,0.9849408753259953,1.007747728159216,0.9999803897745265,1.33571342647966,2.99003691092465,0.1905,0.35950000000000004,0.006833333333333334,1.7739371736393899,0.09758291797066963,1.7731670618321087,0.9697624190064795
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,1.1882947587448078,0.36473919748712486,0.04504890868917196,0.2731926453382494,0.44020235567820437,0.27300239544170857,0.06577249435804833,0.20138128678777262,0.44088493161556686,0.2587044292972899,0.1487542157152054,0.00033668441283650903,0.4767300048541913,0.9702762619694425,0.008946390564131431,0.9575770707819675,0.9818558698379986,1.0036550985880606,1.6362216647414796,1.4075403849918462,1.5152161934330444,0.2135,0.33899999999999997,0.0095,1.7731999919813901,0.13371179959437093,1.7700639473836006,0.9676025917926566
AR1_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,1.3580511528512091,0.3428475771665978,0.04190314799386497,0.2673217183061619,0.4213861872042494,0.33454167813181696,0.08629873296037889,0.19116433222361606,0.4891741759334078,0.5377308597386123,0.253020736749536,-0.08879603098265391,0.9210310483608138,0.9815516204357544,0.007579170209585639,0.9711741261372359,0.9940792511976108,1.0508941166538293,1.853373844140303,1.711575680339494,6.398064453925277,0.221,0.393,0.0075,1.763983671748007,0.10671311342394484,1.7626574270060975,0.9740820734341252
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,0.8487819705320057,0.4538021057617199,0.05676064099186732,0.340007420252378,0.5516854584551253,0.7894193208560312,0.11563055674498005,0.5485061742430157,0.9304615637175491,0.7253465501129758,0.21007208518511986,0.4242320353842771,0.9874772506838428,0.821449586769804,0.16727051302262613,0.6505960308398193,0.9915970353107452,1.9163559882958199,2.3804362714813245,5.475454347289101,53.29333797462246,0.1965,0.5775,0.008166666666666666,1.7064767899630238,0.13927091585683163,1.7026238075091118,0.9330453563714903
