ID,timepoint,posterior_mean,posterior_se,ci_2_5,ci_97_5
113,Y_t2,-1.4191287508344161,,-1.4191287508344161,-1.4191287508344161
113,Y_t3,3.3073124666635896,,3.3073124666635896,3.3073124666635896
114,Y_t2,0.16778679471872826,,0.16778679471872826,0.16778679471872826
114,Y_t3,2.5413398662947295,,2.5413398662947295,2.5413398662947295
115,Y_t3,0.3416786480074623,,0.3416786480074623,0.3416786480074623
118,Y_t3,-3.7714348129817123,,-3.7714348129817123,-3.7714348129817123
119,Y_t2,0.4707322348097782,,0.4707322348097782,0.4707322348097782
119,Y_t3,0.6565374580439514,,0.6565374580439514,0.6565374580439514
120,Y_t2,-1.1206536632443327,,-1.1206536632443327,-1.1206536632443327
120,Y_t3,-3.264462452378463,,-3.264462452378463,-3.264462452378463
121,Y_t3,6.054023388553992,,6.054023388553992,6.054023388553992
123,Y_t3,1.6073285034413323,,1.6073285034413323,1.6073285034413323
125,Y_t2,0.9229197827400109,,0.9229197827400109,0.9229197827400109
125,Y_t3,5.53097652761519,,5.53097652761519,5.53097652761519
127,Y_t3,-2.194476169262072,,-2.194476169262072,-2.194476169262072
128,Y_t2,2.516500323676111,,2.516500323676111,2.516500323676111
128,Y_t3,1.4105891455441886,,1.4105891455441886,1.4105891455441886
129,Y_t3,1.1900905182107362,,1.1900905182107362,1.1900905182107362
131,Y_t3,2.4915119334251066,,2.4915119334251066,2.4915119334251066
133,Y_t2,2.278641921018203,,2.278641921018203,2.278641921018203
133,Y_t3,-1.2145244096897811,,-1.2145244096897811,-1.2145244096897811
134,Y_t2,-0.1186517537063807,,-0.1186517537063807,-0.1186517537063807
134,Y_t3,0.7910768789790108,,0.7910768789790108,0.7910768789790108
136,Y_t2,0.9039155220883225,,0.9039155220883225,0.9039155220883225
136,Y_t3,-3.260352431931922,,-3.260352431931922,-3.260352431931922
137,Y_t3,-4.409332855326167,,-4.409332855326167,-4.409332855326167
138,Y_t2,0.35900231341512195,,0.35900231341512195,0.35900231341512195
138,Y_t3,-3.552386330185904,,-3.552386330185904,-3.552386330185904
139,Y_t2,0.09914895760079423,,0.09914895760079423,0.09914895760079423
139,Y_t3,-1.5515979864215828,,-1.5515979864215828,-1.5515979864215828
140,Y_t3,3.36361523377354,,3.36361523377354,3.36361523377354
141,Y_t2,4.468984997693788,,4.468984997693788,4.468984997693788
141,Y_t3,-1.3861824470865978,,-1.3861824470865978,-1.3861824470865978
142,Y_t2,2.3622722094835744,,2.3622722094835744,2.3622722094835744
142,Y_t3,-1.0649037380246218,,-1.0649037380246218,-1.0649037380246218
143,Y_t2,4.3243228107312754,,4.3243228107312754,4.3243228107312754
143,Y_t3,-0.10975437606133742,,-0.10975437606133742,-0.10975437606133742
144,Y_t3,0.2254440111836104,,0.2254440111836104,0.2254440111836104
145,Y_t2,1.2238199715677607,,1.2238199715677607,1.2238199715677607
145,Y_t3,1.4181495941878142,,1.4181495941878142,1.4181495941878142
147,Y_t3,-1.3819120078287366,,-1.3819120078287366,-1.3819120078287366
149,Y_t3,-0.20751226290777997,,-0.20751226290777997,-0.20751226290777997
150,Y_t2,-0.29726428642134284,,-0.29726428642134284,-0.29726428642134284
150,Y_t3,-2.3893558456487343,,-2.3893558456487343,-2.3893558456487343
151,Y_t2,1.3236499896555833,,1.3236499896555833,1.3236499896555833
151,Y_t3,2.412101494732747,,2.412101494732747,2.412101494732747
152,Y_t2,1.8645574324329048,,1.8645574324329048,1.8645574324329048
152,Y_t3,-1.6972819729768365,,-1.6972819729768365,-1.6972819729768365
156,Y_t2,-1.5830150893830588,,-1.5830150893830588,-1.5830150893830588
156,Y_t3,-1.1473643715087567,,-1.1473643715087567,-1.1473643715087567
160,Y_t2,-2.8361697013550424,,-2.8361697013550424,-2.8361697013550424
160,Y_t3,-0.9448769607017001,,-0.9448769607017001,-0.9448769607017001
161,Y_t2,-4.070293723738056,,-4.070293723738056,-4.070293723738056
