Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p36,"Beta(1,1)",5.0,1.0,1.6975639410640113,1.3580511528512091,0.3822430590952979,0.044138644901610465,0.29593981982817624,0.46632152738893534,0.5727974480667734,0.04820235368580861,0.4941680994809303,0.6716714846970591,0.925357535710314,0.05597895339481018,0.8047110101421547,0.9893126529149256,0.9982266786194972,0.0009428945843479133,0.9960571774735514,0.9992098509404711,0.999725063135223,1.0288549439095487,1.0004321313003697,1.5933793729642154,0.202,0.711,0.007666666666666667,1.6977204689880436,0.08496158329268158,1.6974272716447814,0.9568034557235421
AR1_SampledZ_Beta1_1_muSD10_HC1p0_sigY1p7_sigC1p36,"Beta(1,1)",10.0,1.0,1.6975639410640113,1.3580511528512091,0.38226602921224057,0.04413992891395992,0.29595865303064284,0.46634557800009213,0.5727974480667734,0.04820235368580861,0.4941680994809303,0.6716714846970591,0.925357535710314,0.05597895339481018,0.8047110101421547,0.9893126529149256,0.9982266786194972,0.0009428945843479133,0.9960571774735514,0.9992098509404711,0.999724899634707,1.0288549439095487,1.0004321313003697,1.5933793729642154,0.202,0.711,0.007666666666666667,1.6977208989863768,0.08498200553570363,1.697426678114954,0.9568034557235421
AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p7_sigC1p19,"Beta(1,1)",5.0,2.5,1.6975639410640113,1.1882947587448078,0.38254260459337014,0.045849779937597986,0.30162037421190746,0.46769604493566064,0.5641646682536706,0.06051375647489764,0.42238096655001206,0.6760592390665596,0.91512818919588,0.059093982496379344,0.8000626111537478,0.9873495303717323,0.9976565127579017,0.0016770247937084141,0.9949119335809625,0.9995415164814551,1.0118383975464393,1.0014646270903547,1.0970958714502848,1.1896786619740474,0.2005,0.6825,0.008666666666666666,1.7012653675624345,0.09307604681814954,1.7005548141468392,0.9568034557235421
AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p7_sigC1p19,"Beta(1,1)",10.0,2.5,1.6975639410640113,1.1882947587448078,0.3825654356176649,0.045851265417795065,0.30164018441534335,0.4677207177735452,0.5641646682536706,0.06051375647489764,0.42238096655001206,0.6760592390665596,0.91512818919588,0.059093982496379344,0.8000626111537478,0.9873495303717323,0.9976565127579017,0.0016770247937084141,0.9949119335809625,0.9995415164814551,1.0118396572189756,1.0014646270903547,1.0970958714502848,1.1896786619740474,0.2005,0.6825,0.008666666666666666,1.7012659143929818,0.09309642515159038,1.7005542444911133,0.9568034557235421
AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p7_sigC1p19,"Beta(1,1)",5.0,5.0,1.6975639410640113,1.1882947587448078,0.39419164980491034,0.047848135901338386,0.303732961767339,0.48944762625808463,0.5656134259252955,0.039561115428740336,0.5038113408129147,0.6594754269658177,0.9055960335685703,0.0987035400080323,0.5735737058926035,0.9887208138938746,0.9970042754826242,0.001433591978192279,0.9950585724799282,0.9989404506039353,0.9995517875500876,1.1368814948302932,1.1009974810223313,1.3962690980444152,0.1895,0.6419999999999999,0.0085,1.702943388490183,0.10134934141891559,1.7017636009773867,0.9546436285097192
AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p7_sigC1p19,"Beta(1,1)",10.0,5.0,1.6975639410640113,1.1882947587448078,0.39421493973246063,0.047849583057193376,0.30375189250863954,0.48947481361691403,0.5656134259252955,0.039561115428740336,0.5038113408129147,0.6594754269658177,0.9055960335685703,0.0987035400080323,0.5735737058926035,0.9887208138938746,0.9970042754826242,0.001433591978192279,0.9950585724799282,0.9989404506039353,0.9995520374202267,1.1368814948302932,1.1009974810223313,1.3962690980444152,0.1895,0.6419999999999999,0.0085,1.7029440476616877,0.10137012125010529,1.7017630216751058,0.9546436285097192
AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p36_sigC0p849,"Beta(1,1)",5.0,2.5,1.3580511528512091,0.8487819705320057,0.46713069962178466,0.04812562376472455,0.3637651696429395,0.5530557362267867,0.9017187195991424,0.09041044835265381,0.6508585769372376,1.0423381171712827,0.6884807342698402,0.2345648961801408,0.32630633386914076,0.9870439786424854,0.8325801967361156,0.1667934985725591,0.6658463030226528,0.999391672311084,1.3407996168390721,2.332033130626429,4.908096626924807,2574.9377960366783,0.201,0.5820000000000001,0.006166666666666667,1.7052950391238912,0.143117555260564,1.701116880432593,0.9352051835853131
AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p36_sigC0p849,"Beta(1,1)",10.0,2.5,1.3580511528512091,0.8487819705320057,0.4671511793038269,0.048124526065162786,0.3637870913531782,0.5530725904514965,0.9017187195991424,0.09041044835265381,0.6508585769372376,1.0423381171712827,0.6884807342698402,0.2345648961801408,0.32630633386914076,0.9870439786424854,0.8325801967361156,0.1667934985725591,0.6658463030226528,0.999391672311084,1.3406943543453644,2.332033130626429,4.908096626924807,2574.9377960366783,0.201,0.5820000000000001,0.006166666666666667,1.7052956673221324,0.14313142618601346,1.7011163419721722,0.9352051835853131
AR1_SampledZ_Beta1_1_muSD5_HC5p0_sigY1p7_sigC1p36,"Beta(1,1)",5.0,5.0,1.6975639410640113,1.3580511528512091,0.37186660543829525,0.044617342549695446,0.28836707523582356,0.4616652787936876,0.5849108417222735,0.03895881534787034,0.514837197663596,0.6553834129361039,0.9065717770085153,0.0836395074305774,0.6563103143690393,0.9879837897571202,0.9972952114035682,0.0016772919187350722,0.9910479679943077,0.9987040638007866,1.0272783636522478,1.235352162132495,1.018752880978165,1.1946002380482432,0.2185,0.656,0.009166666666666667,1.7067752751918435,0.07392019178232868,1.707018216053874,0.958963282937365
AR1_SampledZ_Beta1_1_muSD10_HC5p0_sigY1p7_sigC1p36,"Beta(1,1)",10.0,5.0,1.6975639410640113,1.3580511528512091,0.3718890677016104,0.04461900619839895,0.28838501876966643,0.46169398012242646,0.5849108417222735,0.03895881534787034,0.514837197663596,0.6553834129361039,0.9065717770085153,0.0836395074305774,0.6563103143690393,0.9879837897571202,0.9972952114035682,0.0016772919187350722,0.9910479679943077,0.9987040638007866,1.0272777742595964,1.235352162132495,1.018752880978165,1.1946002380482432,0.2185,0.656,0.009166666666666667,1.7067755575985726,0.0739401129814373,1.707017634386314,0.958963282937365
AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p7_sigC1p36,"Beta(1,1)",5.0,2.5,1.6975639410640113,1.3580511528512091,0.3750739068898682,0.05040388126486969,0.26570978932189426,0.4633870935815322,0.5053066175392036,0.05946634579909432,0.4110485714419705,0.6611626824995445,0.9496739691645208,0.04426769662606414,0.8347781012884768,0.99,0.9985328443576018,0.0010765891045808344,0.9969582273763127,0.9997227306234935,1.0088333666599572,1.0060150241748143,1.0707880324693784,1.2995247137721713,0.195,0.7675000000000001,0.007166666666666667,1.707821778048906,0.08528494576195338,1.7075359634863692,0.9524838012958964
AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p7_sigC1p36,"Beta(1,1)",10.0,2.5,1.6975639410640113,1.3580511528512091,0.3750956314196905,0.05040568426375867,0.2657289111973204,0.4634104242238045,0.5053066175392036,0.05946634579909432,0.4110485714419705,0.6611626824995445,0.9496739691645208,0.04426769662606414,0.8347781012884768,0.99,0.9985328443576018,0.0010765891045808344,0.9969582273763127,0.9997227306234935,1.0088340942086043,1.0060150241748143,1.0707880324693784,1.2995247137721713,0.195,0.7675000000000001,0.007166666666666667,1.7078222588228291,0.08530457552645361,1.7075354627140538,0.9524838012958964
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC1p19,"Beta(1,1)",5.0,1.0,1.6975639410640113,1.1882947587448078,0.3715829558967841,0.043428296895065575,0.28633330230868065,0.47062284875871324,0.5352314055012614,0.05618663538343977,0.42378574504044686,0.6207116173151723,0.9171684058455786,0.04952352472090126,0.8168582867435747,0.9850503616735499,0.9976367885379195,0.0009944877250979325,0.9957858144669173,0.9990934067779295,1.0174603241002125,0.9992898029192729,0.9994773994364263,1.4781006093367615,0.202,0.6759999999999999,0.009666666666666667,1.713020322020674,0.08316655976706705,1.7128510077012586,0.9546436285097192
AR1_SampledZ_Beta1_1_muSD10_HC1p0_sigY1p7_sigC1p19,"Beta(1,1)",10.0,1.0,1.6975639410640113,1.1882947587448078,0.37160467097141786,0.04343010989774083,0.28635031343598966,0.4706514820615573,0.5352314055012614,0.05618663538343977,0.42378574504044686,0.6207116173151723,0.9171684058455786,0.04952352472090126,0.8168582867435747,0.9850503616735499,0.9976367885379195,0.0009944877250979325,0.9957858144669173,0.9990934067779295,1.0174612387373585,0.9992898029192729,0.9994773994364263,1.4781006093367615,0.202,0.6759999999999999,0.009666666666666667,1.7130207614082995,0.08318609774175822,1.71285049726255,0.9546436285097192
AR1_SampledZ_Beta1_1_muSD5_HC2p5_sigY1p7_sigC1p02,"Beta(1,1)",5.0,2.5,1.6975639410640113,1.0185383646384067,0.36510434830614963,0.036803306212726525,0.28597471297338684,0.43473728705041464,0.46258302239072024,0.052491696540994934,0.3771430925941636,0.543387054463235,0.9645853893355557,0.028874770231199387,0.8866840679364794,0.99,0.997938961457361,0.00031744105715216246,0.9972670313709724,0.9984406914775646,1.0080926219292379,2.284751669222219,1.0321531840604916,1.002194743602,0.1865,0.79,0.008166666666666666,1.719531235117345,0.08807860408275169,1.7191314695197122,0.9460043196544277
AR1_SampledZ_Beta1_1_muSD10_HC2p5_sigY1p7_sigC1p02,"Beta(1,1)",10.0,2.5,1.6975639410640113,1.0185383646384067,0.36512463196718464,0.03680417907502712,0.2859938165451327,0.4347590036193969,0.46258302239072024,0.052491696540994934,0.3771430925941636,0.543387054463235,0.9645853893355557,0.028874770231199387,0.8866840679364794,0.99,0.997938961457361,0.00031744105715216246,0.9972670313709724,0.9984406914775646,1.0080968366006604,2.284751669222219,1.0321531840604916,1.002194743602,0.1865,0.79,0.008166666666666666,1.7195317773165832,0.08809716242957309,1.7191310600354246,0.9460043196544277
AR1_SampledZ_Beta1_1_muSD5_HC1p0_sigY1p7_sigC0p849,"Beta(1,1)",5.0,1.0,1.6975639410640113,0.8487819705320057,0.4486051212985933,0.07686751973407506,0.30823040717776495,0.5673137629236057,0.7467466107410996,0.15074775220991812,0.5702527906593671,0.956958350526516,0.6755447953976437,0.2717543579326723,0.30827675656532877,0.9873909384056124,0.8324603948428705,0.16653096205844067,0.6657744053873113,0.9991709143238195,2.7401295662879934,5.78669825124325,7.069013655984961,895.8639677682194,0.216,0.5635,0.008333333333333333,1.7378510567692758,0.1631765430882618,1.732044788076913,0.9568034557235421
