ID,timepoint,is_original_missing,is_validation_holdout,posterior_mean,posterior_se,ci_2_5,ci_97_5
50,Y_t3,True,False,0.4180364274514118,1.3819434642791748,-2.3511452674865723,3.146346092224121
52,Y_t2,True,False,0.40828904841459635,1.4636141061782837,-2.352802276611328,3.2753541469573975
52,Y_t3,True,False,0.3105306137740844,1.4837528467178345,-2.515245199203491,3.337245225906372
53,Y_t2,True,False,0.35452165038952316,1.437232494354248,-2.486236095428467,3.0590081214904785
53,Y_t3,True,False,0.3668697967015587,1.3394330739974976,-2.218501567840576,2.8797414302825928
54,Y_t1,False,True,0.34670807014895344,1.393479347229004,-2.3597147464752197,3.0528576374053955
54,Y_t2,True,False,0.31200062057441835,1.4009404182434082,-2.3735969066619873,3.1478617191314697
54,Y_t3,True,False,0.39081722034097205,1.438367486000061,-2.4082858562469482,3.0920543670654297
56,Y_t2,True,False,0.42013809121827583,1.4184520244598389,-2.224313497543335,3.201630115509033
56,Y_t3,True,False,0.47708205164529954,1.4305819272994995,-2.2435383796691895,3.4129855632781982
57,Y_t2,True,False,0.3927200803003468,1.4525463581085205,-2.342008590698242,3.02858567237854
57,Y_t3,True,False,0.44260691911036665,1.4303147792816162,-2.414182662963867,3.2823562622070312
58,Y_t2,True,False,0.3819700115029247,1.4777002334594727,-2.476081609725952,3.0790984630584717
58,Y_t3,True,False,0.350378873360113,1.3988593816757202,-2.3922579288482666,3.202213764190674
59,Y_t2,True,False,0.4101637888828221,1.4352535009384155,-2.3273611068725586,3.100259780883789
59,Y_t3,True,False,0.5133160064089526,1.4583808183670044,-2.254274606704712,3.4582622051239014
61,Y_t3,False,True,0.327168138522121,1.3801652193069458,-2.4022679328918457,3.004917621612549
63,Y_t1,False,True,0.41675859316047714,1.4440226554870605,-2.546283006668091,3.225780963897705
63,Y_t2,True,False,0.33088051224921,1.4432014226913452,-2.4690470695495605,3.1742684841156006
63,Y_t3,True,False,0.3034667840877119,1.4142132997512817,-2.442350387573242,3.069868564605713
64,Y_t3,True,False,0.2848524983044872,1.4012973308563232,-2.454820156097412,2.950636863708496
65,Y_t3,True,False,0.3648223625085846,1.4188168048858643,-2.4103474617004395,3.2397797107696533
66,Y_t3,True,False,0.34497159811584954,1.4264800548553467,-2.4044013023376465,3.243715524673462
67,Y_t1,False,True,0.36156438331032054,1.4974855184555054,-2.6962010860443115,3.152897357940674
67,Y_t2,True,False,0.334736291944138,1.4169071912765503,-2.533623695373535,3.101123332977295
67,Y_t3,True,False,0.40908331970323375,1.4498335123062134,-2.3664803504943848,3.148219347000122
68,Y_t2,True,False,0.3034327435417079,1.4165287017822266,-2.4159374237060547,3.1082756519317627
68,Y_t3,True,False,0.3010300974861006,1.4319220781326294,-2.5002307891845703,3.1241917610168457
70,Y_t2,True,False,0.3495815804929363,1.4490842819213867,-2.602339744567871,3.138042688369751
70,Y_t3,True,False,0.37970115591846,1.393692970275879,-2.498150587081909,3.1358602046966553
71,Y_t2,True,False,0.28643438237649366,1.4170798063278198,-2.4455978870391846,2.960991621017456
71,Y_t3,True,False,0.402882471117235,1.4864623546600342,-2.5704336166381836,3.2764217853546143
72,Y_t3,True,False,0.3924847215395255,1.4290924072265625,-2.4074172973632812,3.142482280731201
73,Y_t2,True,False,0.41958468092373047,1.4446766376495361,-2.4431538581848145,3.2549872398376465
73,Y_t3,True,False,0.4116497667340841,1.4160844087600708,-2.3960824012756348,3.1184089183807373
74,Y_t3,False,True,0.36813947420796767,1.4053996801376343,-2.3857696056365967,2.9610400199890137
75,Y_t1,False,True,0.4675723309261279,1.4097501039505005,-2.3541922569274902,3.2384819984436035
75,Y_t3,False,True,0.4003166162176959,1.3748559951782227,-2.17952561378479,3.233088254928589
77,Y_t3,True,False,0.3890296848008732,1.4158886671066284,-2.312814474105835,3.1952712535858154
78,Y_t1,False,True,0.341268333979153,1.433396816253662,-2.5370287895202637,3.1034133434295654
79,Y_t1,False,True,0.3354455287766812,1.4271563291549683,-2.451960325241089,3.070556879043579
79,Y_t3,True,False,0.31657920116836114,1.4383251667022705,-2.537414073944092,3.0603508949279785
81,Y_t2,True,False,0.37554177843469416,1.4148074388504028,-2.354264736175537,3.2636632919311523
81,Y_t3,True,False,0.3685980524610968,1.4148399829864502,-2.4966366291046143,3.144092559814453
82,Y_t2,False,True,0.3457814680366579,1.4752757549285889,-2.4955875873565674,3.1139109134674072
83,Y_t3,True,False,0.3839225110074742,1.413701057434082,-2.437150239944458,3.0812594890594482
84,Y_t1,False,True,0.33560075665948286,1.4625850915908813,-2.6094870567321777,3.269869565963745
84,Y_t2,True,False,0.39300213333206546,1.3727977275848389,-2.389812469482422,3.204030752182007
84,Y_t3,True,False,0.3692588131691602,1.3970587253570557,-2.326087236404419,3.244004011154175
85,Y_t1,False,True,0.3303087227164275,1.4512146711349487,-2.504605293273926,3.1845598220825195
86,Y_t3,True,False,0.38846622077391385,1.4259427785873413,-2.1988015174865723,3.17828106880188
88,Y_t3,False,True,0.3036360599525023,1.4875547885894775,-2.7705845832824707,3.26776123046875
89,Y_t2,False,True,0.42427879832172444,1.4096430540084839,-2.423203945159912,3.0966618061065674
89,Y_t3,True,False,0.3694695578432412,1.4154390096664429,-2.4335269927978516,3.1504900455474854
90,Y_t2,False,True,0.35784362959030913,1.4411346912384033,-2.451359987258911,3.046823024749756
91,Y_t3,True,False,0.42701125367997694,1.4223335981369019,-2.3240108489990234,3.117870807647705
93,Y_t1,False,True,0.3339427013356121,1.406794786453247,-2.3981258869171143,3.11796236038208
