Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
66,Ind_FixedZ0p9_muSD5_HC2p5_sigY1p36_sigC0p849,0.9,5.0,2.5,1.3580511528512091,0.8487819705320057,1.777224680444906,0.14641643322914702,1.7730989906121548,0.8855291576673866,1.0429459956138099,1.3903211693815467,0.223,Bayesian independent fixed Z
67,Ind_FixedZ0p9_muSD10_HC2p5_sigY1p36_sigC0p849,0.9,10.0,2.5,1.3580511528512091,0.8487819705320057,1.7772253729409302,0.14642483861038033,1.7730989906121546,0.8855291576673866,1.0429459289510534,1.3903211693815467,0.223,Bayesian independent fixed Z
68,Ind_FixedZ0p9_muSD5_HC1p0_sigY2p04_sigC0p849,0.9,5.0,1.0,2.0370767292768135,0.8487819705320057,1.777346187079707,0.1533144988841053,1.7726366887821676,0.9654427645788337,1.2822004718794924,1.1478294405704557,0.2025,Bayesian independent fixed Z
69,Ind_FixedZ0p9_muSD10_HC1p0_sigY2p04_sigC0p849,0.9,10.0,1.0,2.0370767292768135,0.8487819705320057,1.7773473052001916,0.15332746050103171,1.7726366887821676,0.9654427645788337,1.28221531350333,1.1478294405704557,0.2025,Bayesian independent fixed Z
70,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p02,0.7,5.0,1.0,1.3580511528512091,1.0185383646384067,1.7774082919901648,0.17328513793466854,1.770854470237476,0.8812095032397408,1.0625616721873126,2.423490308632525,0.196,Bayesian independent fixed Z
71,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p02,0.7,10.0,1.0,1.3580511528512091,1.0185383646384067,1.7774089802070159,0.17329219692238387,1.770854470237476,0.8812095032397408,1.0625617421143967,2.423490308632525,0.196,Bayesian independent fixed Z
72,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC1p36,0.7,5.0,1.0,1.6975639410640113,1.3580511528512091,1.7775929811811575,0.17443515954881622,1.770927100364506,0.937365010799136,1.057706490310327,1.0494965909510585,0.202,Bayesian independent fixed Z
73,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC1p36,0.7,10.0,1.0,1.6975639410640113,1.3580511528512091,1.7775941413666794,0.174446982098999,1.7709271003645062,0.937365010799136,1.057706667993088,1.0494965909510585,0.202,Bayesian independent fixed Z
74,Ind_FixedZ0p7_muSD5_HC5p0_sigY2p04_sigC1p19,0.7,5.0,5.0,2.0370767292768135,1.1882947587448078,1.7776396955640283,0.18681269020623575,1.7697085071253291,0.9654427645788337,1.167076234473745,3.9593608576787513,0.20550000000000002,Bayesian independent fixed Z
75,Ind_FixedZ0p7_muSD10_HC5p0_sigY2p04_sigC1p19,0.7,10.0,5.0,2.0370767292768135,1.1882947587448078,1.7776407186802254,0.18682242554647477,1.7697085071253291,0.9654427645788337,1.167112811599614,3.9593608576787513,0.20550000000000002,Bayesian independent fixed Z
