mu_chain_1,tau_chain_1,mu_chain_2,tau_chain_2,mu_chain_3,tau_chain_3,mu_chain_4,tau_chain_4
0.31704374123384194,0.23556408820588148,0.38451498007955026,0.2763040285288403,0.3639312065358921,0.14163769860668513,0.39103568156256907,0.2915904805512276
0.3174301828703066,0.23556408820588148,0.38352868312951177,0.2763040285288403,0.369224793174755,0.14171331465451656,0.39771792157755204,0.2915904805512276
0.3038783655505943,0.23556408820588148,0.386518742880081,0.2763040285288403,0.3758508856602775,0.14171331465451656,0.3900715393198034,0.2915904805512276
0.2997873241740005,0.23490987552457254,0.39184089604914374,0.2763040285288403,0.3776393096251527,0.14178590174189692,0.3989164147829025,0.2915904805512276
0.30439453545259354,0.23490987552457254,0.3856524228354176,0.27497410175217113,0.37709521660625156,0.14178590174189692,0.3968512196442169,0.2915904805512276
0.3102776572324013,0.23490987552457254,0.38366304441462473,0.27497410175217113,0.3770646968702269,0.14178590174189692,0.39317741040536014,0.2915904805512276
0.31208026199778,0.23490987552457254,0.3893409582377155,0.27497410175217113,0.3790072217283921,0.14178590174189692,0.3936201655620344,0.2915904805512276
0.3132688918064313,0.23490987552457254,0.3948551154128555,0.27497410175217113,0.378290522260911,0.14178590174189692,0.3941411073711291,0.2915904805512276
0.31354678612739434,0.22557770805691404,0.396275643036264,0.27497410175217113,0.3801562960395147,0.14178590174189692,0.4024679637404677,0.2915904805512276
0.313197856273107,0.22021786340055222,0.3931480018659045,0.27497410175217113,0.37803331254707306,0.14178590174189692,0.4111206823516271,0.2915904805512276
0.3200664402819373,0.21809027622587793,0.3966488988110523,0.27497410175217113,0.3776786565048804,0.14178590174189692,0.41122771723439466,0.2915904805512276
0.3221254833151666,0.21809027622587793,0.3978308979445303,0.27497410175217113,0.37626206411782737,0.14178590174189692,0.4013011445368118,0.2915904805512276
0.32685554309352965,0.21809027622587793,0.4083986471447967,0.27497410175217113,0.3777200938547849,0.14178590174189692,0.40973212758886446,0.29574358554064173
0.3297225092634705,0.21809027622587793,0.40037669150263283,0.27497410175217113,0.3795936315588631,0.14178590174189692,0.41666650982235504,0.29574358554064173
0.3328728311344736,0.21809027622587793,0.3939009519157583,0.27496339674710657,0.37606173172014795,0.14178590174189692,0.42014536312758394,0.2894772351595595
0.3362999167021279,0.21725872884501696,0.3824958741232586,0.27496339674710657,0.37349167208127326,0.14178590174189692,0.41473200999574256,0.2894772351595595
0.3378935764272171,0.21725872884501696,0.39370751935921683,0.27496339674710657,0.3803391617068888,0.14178590174189692,0.4117715572891049,0.2894772351595595
0.3326028435753488,0.21725872884501696,0.37956617758588224,0.27496339674710657,0.3759461952532357,0.14178590174189692,0.41209723690634104,0.2894772351595595
0.3275556961277232,0.21725872884501696,0.3841645432906394,0.27496339674710657,0.37116300820982623,0.14178590174189692,0.4189108466826552,0.28790921587412527
0.3257306944848261,0.21725872884501696,0.37147880235981706,0.27496339674710657,0.3747433629452597,0.13845717964721996,0.412647455008838,0.2785080636333152
0.32157028471581084,0.21725872884501696,0.3733219664116589,0.27572481278529404,0.3683546500596871,0.13845717964721996,0.4155524093346606,0.2785080636333152
0.32123060629202604,0.2162254662777569,0.3717068205695139,0.27572481278529404,0.37077656302318207,0.13845717964721996,0.4056044717706943,0.2785080636333152
0.33006866301309185,0.2162254662777569,0.36568604722890474,0.27572481278529404,0.36719397058925846,0.1389869108225006,0.39656392234713117,0.2785080636333152
0.3300123671252821,0.21141166325950284,0.3582175848718444,0.27572481278529404,0.3728000332180181,0.1389869108225006,0.39147302263785483,0.2785080636333152
0.3280900724643301,0.2064821767804954,0.3628475711494411,0.27572481278529404,0.3710627387689091,0.1389869108225006,0.38751160834058573,0.2785080636333152
0.3224339218193089,0.2064821767804954,0.35965871753780393,0.27261436882222073,0.36906904656550993,0.1389869108225006,0.3789617625978315,0.2786721046586624
0.3157669042031927,0.2064821767804954,0.3624560884889685,0.27261436882222073,0.37157341526712184,0.1389869108225006,0.36750959200232297,0.2786721046586624
0.31798106859929287,0.2064821767804954,0.36038262042645,0.27261436882222073,0.37165937605554106,0.1389869108225006,0.3702085304362337,0.2786721046586624
0.31279857289043345,0.2064821767804954,0.3586151731308304,0.27261436882222073,0.3697057460336811,0.1389869108225006,0.37638294490124147,0.2786721046586624
